year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1960,WY,009,M,David,James,Robert,Michael,John,Mark,Richard,William,Steven,Kevin,146,133,133,132,117,111,89,88,65,56
1960,UT,010,M,David,Michael,Mark,Robert,John,Scott,Steven,James,Richard,Kevin,523,396,369,354,331,330,285,263,250,228
1960,AZ,011,M,David,Robert,Michael,John,James,Mark,Richard,William,Thomas,Steven,711,600,597,549,502,483,435,304,238,237
1960,CO,012,M,David,Michael,John,Robert,Mark,James,Richard,William,Steven,Daniel,897,797,732,705,651,627,427,361,358,322
1960,NM,013,M,David,Michael,Robert,James,John,Richard,Mark,William,Paul,Joseph,527,483,443,405,381,314,283,202,195,193
1960,ND,014,M,David,Mark,Michael,Robert,Kevin,John,James,Steven,Jeffrey,Scott,308,262,227,199,198,190,186,180,176,163
1960,SD,015,M,David,Michael,Mark,James,Robert,Steven,Timothy,Scott,Kevin,John,308,269,248,237,213,192,188,185,178,176
1960,NE,016,M,Michael,David,Mark,John,James,Robert,Kevin,Steven,Timothy,Thomas,721,685,637,528,506,481,383,372,333,332
1960,KS,017,M,David,Michael,Mark,James,Robert,John,Kevin,Steven,William,Richard,1008,885,827,703,686,665,499,461,459,454
1960,OK,018,M,David,James,Michael,Mark,Robert,John,William,Steven,Richard,Charles,1006,827,757,719,685,636,419,407,391,357
1960,TX,019,M,David,James,Robert,Michael,John,Mark,Richard,William,Charles,Kenneth,4704,3969,3543,3497,3266,2457,2100,1892,1696,1694
1960,MN,020,M,David,Mark,Michael,John,James,Thomas,Robert,Steven,Scott,Timothy,1977,1759,1669,1520,1460,1229,1221,1167,1154,955
1960,IA,021,M,David,Michael,Mark,John,James,Robert,Jeffrey,Steven,Kevin,Scott,1441,1195,1140,951,931,831,787,786,737,620
1960,MO,022,M,David,Michael,James,John,Mark,Robert,William,Steven,Richard,Kevin,2076,2000,1794,1759,1696,1533,1082,984,938,936
1960,AR,023,M,James,David,Michael,John,Robert,Charles,William,Mark,Terry,Kenneth,863,705,658,548,540,475,438,373,311,302
1960,LA,024,M,Michael,David,James,John,Robert,Charles,Mark,Kenneth,Joseph,William,1556,1362,1358,1267,1066,811,779,723,680,645
1960,WI,025,M,David,Michael,Mark,James,John,Robert,Thomas,Steven,Jeffrey,Daniel,2319,2148,1937,1740,1693,1579,1369,1338,1284,1163
1960,MI,026,M,David,Michael,Mark,James,Robert,John,Thomas,William,Richard,Steven,4287,3938,3426,3417,3274,3228,2119,2031,1890,1836
1960,IL,027,M,Michael,David,John,James,Robert,Mark,William,Thomas,Richard,Steven,5413,4819,4650,4390,4159,3624,2692,2562,2443,2261
1960,IN,028,M,David,Michael,James,Mark,John,Robert,Timothy,William,Jeffrey,Richard,2550,2179,2010,1990,1846,1709,1169,1133,1126,1007
1960,OH,029,M,David,Michael,James,John,Robert,Mark,William,Thomas,Richard,Jeffrey,5290,4564,4533,4373,4042,4006,2754,2511,2500,2465
1960,KY,030,M,James,David,Michael,William,John,Robert,Mark,Charles,Timothy,Kenneth,1739,1546,1184,1112,1050,1029,991,833,764,568
1960,TN,031,M,James,David,Michael,William,Robert,John,Charles,Mark,Timothy,Ricky,1999,1522,1405,1208,1107,1106,848,822,717,672
1960,MS,032,M,James,Robert,David,John,Michael,Charles,William,Willie,Larry,Kenneth,1376,878,792,764,718,651,639,593,482,424
1960,AL,033,M,James,Michael,David,John,William,Robert,Charles,Kenneth,Timothy,Mark,1869,1277,1186,1133,1110,1001,775,656,634,564
1960,ME,034,M,David,Michael,Robert,James,John,Mark,Richard,William,Daniel,Timothy,590,583,405,390,378,362,344,243,235,212
1960,VT,035,M,Michael,David,James,Robert,John,Mark,Richard,Timothy,Brian,William,247,197,159,151,150,120,108,104,85,84
1960,NH,036,M,David,Michael,Robert,James,Mark,John,Richard,Paul,Thomas,William,345,330,262,256,238,236,198,160,159,151
1960,NY,037,M,Michael,John,Robert,David,James,Thomas,William,Richard,Joseph,Mark,8929,8331,7423,6598,6407,4882,4831,4686,4654,4218
1960,MA,038,M,John,Michael,David,Robert,James,Mark,Richard,William,Paul,Thomas,3475,3263,3114,2849,2507,2148,1948,1860,1803,1670
1960,CT,039,M,John,Michael,Robert,David,James,Mark,Richard,William,Thomas,Joseph,1385,1373,1335,1301,1016,932,814,804,732,673
1960,RI,040,M,Michael,David,John,Robert,James,Paul,Richard,Joseph,William,Mark,565,557,535,528,359,290,286,280,274,244
1960,PA,041,M,John,David,Michael,Robert,James,Mark,William,Joseph,Thomas,Richard,5828,5526,5430,5311,4915,3777,3773,3320,3168,3037
1960,NJ,042,M,John,Michael,Robert,James,David,Thomas,William,Joseph,Mark,Richard,3358,3150,2981,2439,2338,1977,1922,1862,1768,1687
1960,DE,043,M,David,Michael,John,Robert,James,William,Mark,Thomas,Richard,Joseph,274,269,239,238,228,176,161,131,127,107
