year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1970,OK,18,F,Kimberly,Angela,Jennifer,Lisa,Michelle,Amy,Tammy,Melissa,Stephanie,Shannon,460,449,392,390,316,281,277,267,254,234
1970,TX,19,F,Jennifer,Lisa,Kimberly,Maria,Melissa,Michelle,Angela,Mary,Laura,Amy,1980,1812,1787,1760,1708,1692,1398,1352,1291,1249
1970,MN,20,F,Jennifer,Lisa,Michelle,Amy,Julie,Kimberly,Melissa,Angela,Susan,Dawn,1153,867,829,726,625,506,456,392,390,372
1970,IA,21,F,Jennifer,Michelle,Amy,Lisa,Angela,Kimberly,Julie,Melissa,Dawn,Lori,770,604,584,538,491,453,430,413,308,292
1970,MO,22,F,Kimberly,Michelle,Jennifer,Lisa,Angela,Amy,Melissa,Julie,Tammy,Tracy,961,930,912,883,839,641,617,550,494,489
1970,AR,23,F,Kimberly,Angela,Lisa,Melissa,Tammy,Jennifer,Mary,Shannon,Stephanie,Tina,362,361,333,278,236,235,228,217,188,180
1970,LA,24,F,Angela,Michelle,Lisa,Melissa,Kimberly,Jennifer,Tammy,Mary,Shannon,Stephanie,602,578,541,516,512,506,479,448,426,369
1970,WI,25,F,Jennifer,Lisa,Amy,Michelle,Julie,Tracy,Tammy,Dawn,Kimberly,Susan,1254,1024,907,898,658,578,547,539,512,459
1970,MI,26,F,Jennifer,Lisa,Michelle,Kimberly,Amy,Julie,Angela,Dawn,Kelly,Melissa,2440,1979,1850,1722,1720,1058,1041,1041,1036,1012
1970,IL,27,F,Jennifer,Kimberly,Lisa,Michelle,Amy,Angela,Julie,Laura,Tracy,Dawn,2729,2117,2075,1989,1442,1333,1201,1161,1128,1066
1970,IN,28,F,Jennifer,Angela,Michelle,Lisa,Kimberly,Amy,Melissa,Julie,Tammy,Dawn,1359,1247,1155,1071,1041,1037,875,644,608,586
1970,OH,29,F,Jennifer,Michelle,Lisa,Amy,Kimberly,Angela,Melissa,Tracy,Julie,Tammy,2858,2313,2268,2054,1995,1729,1717,1269,1237,1177
1970,KY,30,F,Melissa,Kimberly,Angela,Lisa,Jennifer,Tammy,Mary,Amy,Michelle,Stephanie,766,726,724,714,706,630,462,447,433,346
1970,TN,31,F,Angela,Kimberly,Lisa,Melissa,Tammy,Jennifer,Amy,Mary,Tracy,Michelle,995,882,771,722,701,693,576,520,444,411
1970,MS,32,F,Angela,Mary,Kimberly,Jennifer,Lisa,Pamela,Tammy,Melissa,Stephanie,Sharon,521,406,386,375,350,343,284,278,271,260
1970,AL,33,F,Kimberly,Angela,Jennifer,Tammy,Lisa,Mary,Tracy,Pamela,Amy,Stephanie,735,711,603,544,460,455,425,407,399,373
1970,ME,34,F,Jennifer,Lisa,Michelle,Tammy,Kimberly,Amy,Melissa,Julie,Tracy,Karen,254,241,225,185,165,162,154,124,108,106
1970,VT,35,F,Jennifer,Amy,Michelle,Lisa,Melissa,Heather,Kimberly,Tammy,Karen,Kelly,137,85,85,77,71,66,65,61,54,51
1970,NH,36,F,Jennifer,Lisa,Michelle,Kimberly,Christine,Melissa,Heather,Amy,Karen,Tammy,241,185,144,125,116,109,108,106,105,88
